activity_uuid_product_uuid,activity_name,product_geography,input_activity_uuid_product_uuid,exchange_name,input_geography,exchange_unit_name,exchange_amount
61acb392-9dda-594b-bb92-80e1598e0ab5_4c2b1cc3-84e5-4e35-b74e-8815eadbc674,[sulfonyl]urea-compound production,RoW,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,0.00761464
b84862fe-b764-5a92-99f8-d2d107f6bd78_4c2b1cc3-84e5-4e35-b74e-8815eadbc674,[sulfonyl]urea-compound production,RER,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,"aluminium, wrought alloy",GLO,kg,0.00761464
b84862fe-b764-5a92-99f8-d2d107f6bd78_4c2b1cc3-84e5-4e35-b74e-8815eadbc674,[sulfonyl]urea-compound production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,2.08104288
8790cd4c-8693-5964-a9a0-cfaf5e6f94ca_1be4f7e4-5244-4f9d-b80d-7fbf1e337e2b,[thio]carbamate-compound production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,1.77085248
739f38ee-b726-5bc5-b12e-8bb2df5a268c_b7b72951-a57c-4364-9b49-ea3c7cb03d00,1-propanol production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.62958352
9358a211-ce2b-56d3-b2f2-db5ffce81e33_807906d0-f3cb-4a7c-a528-ae497a61bf12,"1,1-difluoroethane production, HFC-152a",RoW,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.171362473
677ef6bc-1b0e-58bd-9380-e654de2f6e63_dab51c45-3349-4fbf-8dbc-cc97ffdd57df,2-butanol production by hydration of butene,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.336367243
677ef6bc-1b0e-58bd-9380-e654de2f6e63_aaa1fb85-4e0e-426e-808a-35987bd8d486,2-butanol production by hydration of butene,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.160174878
daf6b4f6-f6bd-5d06-adac-f18cf06fcae0_11bd64cc-4415-44e4-8cf0-edde6adc6b46,2-methyl-2-butanol production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.192212
2e00da68-0c29-5fe4-ba28-8e4291ab1d82_089f5c04-e340-42c4-bf9c-e8ec6174443a,2-nitroaniline production,RER,3b190359-a32e-5294-af63-983f38ce6525_759b89bd-3aa6-42ad-b767-5bb9ef5d331d,"electricity, medium voltage",RER,kWh,0.36244
