companies_id,grouped_by,risk_category,clustered,activity_uuid_product_uuid,tilt_sector,scenario,year,type,input_activity_uuid_product_uuid,input_tilt_sector,input_tilt_subsector
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,7ac71fd7-a65b-5f2c-9289-7335f9945c11_fef44ccb-917e-4c8d-bb35-a1898827b659,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,3951c4eb-ec78-5a89-a89f-1a546b701f49_d454e221-5f08-4259-b46b-31d0dbe595d1,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,3951c4eb-ec78-5a89-a89f-1a546b701f49_d454e221-5f08-4259-b46b-31d0dbe595d1,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,3951c4eb-ec78-5a89-a89f-1a546b701f49_d454e221-5f08-4259-b46b-31d0dbe595d1,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,3951c4eb-ec78-5a89-a89f-1a546b701f49_d454e221-5f08-4259-b46b-31d0dbe595d1,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,10282993-ad4b-5b68-a2bc-7afe8f7b5023_e9066206-5489-4a49-8192-927722af79ad,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,10282993-ad4b-5b68-a2bc-7afe8f7b5023_e9066206-5489-4a49-8192-927722af79ad,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,10282993-ad4b-5b68-a2bc-7afe8f7b5023_e9066206-5489-4a49-8192-927722af79ad,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,10282993-ad4b-5b68-a2bc-7afe8f7b5023_e9066206-5489-4a49-8192-927722af79ad,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,874108e3-39a6-5413-ac1a-18c9919e7025_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,874108e3-39a6-5413-ac1a-18c9919e7025_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,weo_nz 2050_2030,medium,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2030,weo,874108e3-39a6-5413-ac1a-18c9919e7025_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,weo_nz 2050_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,nz 2050,2050,weo,874108e3-39a6-5413-ac1a-18c9919e7025_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,ipr_1.5c rps_2030,low,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2030,ipr,d12cb441-97f4-5146-8f5d-9c9d32abd0bf_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
id1,ipr_1.5c rps_2050,high,building construction,ebd4dddf-9f74-5fd1-89ce-197b60cb8d06_006863b7-d736-4eb6-bbf8-648d292184ad,construction industry,1.5c rps,2050,ipr,d12cb441-97f4-5146-8f5d-9c9d32abd0bf_eee95138-58c8-4172-9b1f-754ba074325d,construction industry,construction buildings
