companies_id,grouped_by,risk_category,value
id1,all,high,0.5
id1,all,medium,0.5
id1,all,low,0
id1,isic_sec,high,0
id1,isic_sec,medium,1
id1,isic_sec,low,0
id1,tilt_sec,high,0
id1,tilt_sec,medium,0.5
id1,tilt_sec,low,0.5
id1,unit,high,1
id1,unit,medium,0
id1,unit,low,0
id1,unit_isic_sec,high,0
id1,unit_isic_sec,medium,1
id1,unit_isic_sec,low,0
id1,unit_tilt_sec,high,0.5
id1,unit_tilt_sec,medium,0.5
id1,unit_tilt_sec,low,0
id2,all,high,0.5
id2,all,medium,0
id2,all,low,0.5
id2,isic_sec,high,1
id2,isic_sec,medium,0
id2,isic_sec,low,0
id2,tilt_sec,high,0.5
id2,tilt_sec,medium,0
id2,tilt_sec,low,0.5
id2,unit,high,0.5
id2,unit,medium,0.5
id2,unit,low,0
id2,unit_isic_sec,high,1
id2,unit_isic_sec,medium,0
id2,unit_isic_sec,low,0
id2,unit_tilt_sec,high,0.5
id2,unit_tilt_sec,medium,0.5
id2,unit_tilt_sec,low,0
id3,all,high,NA
id3,all,medium,NA
id3,all,low,NA
id3,isic_sec,high,NA
id3,isic_sec,medium,NA
id3,isic_sec,low,NA
id3,tilt_sec,high,NA
id3,tilt_sec,medium,NA
id3,tilt_sec,low,NA
id3,unit,high,NA
id3,unit,medium,NA
id3,unit,low,NA
id3,unit_isic_sec,high,NA
id3,unit_isic_sec,medium,NA
id3,unit_isic_sec,low,NA
id3,unit_tilt_sec,high,NA
id3,unit_tilt_sec,medium,NA
id3,unit_tilt_sec,low,NA
